0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	
-1	0	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	
-2	-31	0	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	
-3	-32	-60	0	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	
-4	-33	-61	-88	0	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	
-5	-34	-62	-89	-115	0	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	
-6	-35	-63	-90	-116	-141	0	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	
-7	-36	-64	-91	-117	-142	-166	0	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	
-8	-37	-65	-92	-118	-143	-167	-190	0	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	
-9	-38	-66	-93	-119	-144	-168	-191	-213	0	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	
-10	-39	-67	-94	-120	-145	-169	-192	-214	-235	0	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	
-11	-40	-68	-95	-121	-146	-170	-193	-215	-236	-256	0	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	
-12	-41	-69	-96	-122	-147	-171	-194	-216	-237	-257	-276	0	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	
-13	-42	-70	-97	-123	-148	-172	-195	-217	-238	-258	-277	-295	0	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	
-14	-43	-71	-98	-124	-149	-173	-196	-218	-239	-259	-278	-296	-313	0	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	
-15	-44	-72	-99	-125	-150	-174	-197	-219	-240	-260	-279	-297	-314	-330	0	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	
-16	-45	-73	-100	-126	-151	-175	-198	-220	-241	-261	-280	-298	-315	-331	-346	0	361	362	363	364	365	366	367	368	369	370	371	372	373	374	
-17	-46	-74	-101	-127	-152	-176	-199	-221	-242	-262	-281	-299	-316	-332	-347	-361	0	375	376	377	378	379	380	381	382	383	384	385	386	387	
-18	-47	-75	-102	-128	-153	-177	-200	-222	-243	-263	-282	-300	-317	-333	-348	-362	-375	0	388	389	390	391	392	393	394	395	396	397	398	399	
-19	-48	-76	-103	-129	-154	-178	-201	-223	-244	-264	-283	-301	-318	-334	-349	-363	-376	-388	0	400	401	402	403	404	405	406	407	408	409	410	
-20	-49	-77	-104	-130	-155	-179	-202	-224	-245	-265	-284	-302	-319	-335	-350	-364	-377	-389	-400	0	411	412	413	414	415	416	417	418	419	420	
-21	-50	-78	-105	-131	-156	-180	-203	-225	-246	-266	-285	-303	-320	-336	-351	-365	-378	-390	-401	-411	0	421	422	423	424	425	426	427	428	429	
-22	-51	-79	-106	-132	-157	-181	-204	-226	-247	-267	-286	-304	-321	-337	-352	-366	-379	-391	-402	-412	-421	0	430	431	432	433	434	435	436	437	
-23	-52	-80	-107	-133	-158	-182	-205	-227	-248	-268	-287	-305	-322	-338	-353	-367	-380	-392	-403	-413	-422	-430	0	438	439	440	441	442	443	444	
-24	-53	-81	-108	-134	-159	-183	-206	-228	-249	-269	-288	-306	-323	-339	-354	-368	-381	-393	-404	-414	-423	-431	-438	0	445	446	447	448	449	450	
-25	-54	-82	-109	-135	-160	-184	-207	-229	-250	-270	-289	-307	-324	-340	-355	-369	-382	-394	-405	-415	-424	-432	-439	-445	0	451	452	453	454	455	
-26	-55	-83	-110	-136	-161	-185	-208	-230	-251	-271	-290	-308	-325	-341	-356	-370	-383	-395	-406	-416	-425	-433	-440	-446	-451	0	456	457	458	459	
-27	-56	-84	-111	-137	-162	-186	-209	-231	-252	-272	-291	-309	-326	-342	-357	-371	-384	-396	-407	-417	-426	-434	-441	-447	-452	-456	0	460	461	462	
-28	-57	-85	-112	-138	-163	-187	-210	-232	-253	-273	-292	-310	-327	-343	-358	-372	-385	-397	-408	-418	-427	-435	-442	-448	-453	-457	-460	0	463	464	
-29	-58	-86	-113	-139	-164	-188	-211	-233	-254	-274	-293	-311	-328	-344	-359	-373	-386	-398	-409	-419	-428	-436	-443	-449	-454	-458	-461	-463	0	465	
-30	-59	-87	-114	-140	-165	-189	-212	-234	-255	-275	-294	-312	-329	-345	-360	-374	-387	-399	-410	-420	-429	-437	-444	-450	-455	-459	-462	-464	-465	0	
