0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
-1	0	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	
-2	-33	0	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
-3	-34	-64	0	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	
-4	-35	-65	-94	0	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	
-5	-36	-66	-95	-123	0	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	
-6	-37	-67	-96	-124	-151	0	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	
-7	-38	-68	-97	-125	-152	-178	0	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	
-8	-39	-69	-98	-126	-153	-179	-204	0	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	
-9	-40	-70	-99	-127	-154	-180	-205	-229	0	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	
-10	-41	-71	-100	-128	-155	-181	-206	-230	-253	0	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	
-11	-42	-72	-101	-129	-156	-182	-207	-231	-254	-276	0	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	
-12	-43	-73	-102	-130	-157	-183	-208	-232	-255	-277	-298	0	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	
-13	-44	-74	-103	-131	-158	-184	-209	-233	-256	-278	-299	-319	0	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	
-14	-45	-75	-104	-132	-159	-185	-210	-234	-257	-279	-300	-320	-339	0	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373	374	375	
-15	-46	-76	-105	-133	-160	-186	-211	-235	-258	-280	-301	-321	-340	-358	0	376	377	378	379	380	381	382	383	384	385	386	387	388	389	390	391	392	
-16	-47	-77	-106	-134	-161	-187	-212	-236	-259	-281	-302	-322	-341	-359	-376	0	393	394	395	396	397	398	399	400	401	402	403	404	405	406	407	408	
-17	-48	-78	-107	-135	-162	-188	-213	-237	-260	-282	-303	-323	-342	-360	-377	-393	0	409	410	411	412	413	414	415	416	417	418	419	420	421	422	423	
-18	-49	-79	-108	-136	-163	-189	-214	-238	-261	-283	-304	-324	-343	-361	-378	-394	-409	0	424	425	426	427	428	429	430	431	432	433	434	435	436	437	
-19	-50	-80	-109	-137	-164	-190	-215	-239	-262	-284	-305	-325	-344	-362	-379	-395	-410	-424	0	438	439	440	441	442	443	444	445	446	447	448	449	450	
-20	-51	-81	-110	-138	-165	-191	-216	-240	-263	-285	-306	-326	-345	-363	-380	-396	-411	-425	-438	0	451	452	453	454	455	456	457	458	459	460	461	462	
-21	-52	-82	-111	-139	-166	-192	-217	-241	-264	-286	-307	-327	-346	-364	-381	-397	-412	-426	-439	-451	0	463	464	465	466	467	468	469	470	471	472	473	
-22	-53	-83	-112	-140	-167	-193	-218	-242	-265	-287	-308	-328	-347	-365	-382	-398	-413	-427	-440	-452	-463	0	474	475	476	477	478	479	480	481	482	483	
-23	-54	-84	-113	-141	-168	-194	-219	-243	-266	-288	-309	-329	-348	-366	-383	-399	-414	-428	-441	-453	-464	-474	0	484	485	486	487	488	489	490	491	492	
-24	-55	-85	-114	-142	-169	-195	-220	-244	-267	-289	-310	-330	-349	-367	-384	-400	-415	-429	-442	-454	-465	-475	-484	0	493	494	495	496	497	498	499	500	
-25	-56	-86	-115	-143	-170	-196	-221	-245	-268	-290	-311	-331	-350	-368	-385	-401	-416	-430	-443	-455	-466	-476	-485	-493	0	501	502	503	504	505	506	507	
-26	-57	-87	-116	-144	-171	-197	-222	-246	-269	-291	-312	-332	-351	-369	-386	-402	-417	-431	-444	-456	-467	-477	-486	-494	-501	0	508	509	510	511	512	513	
-27	-58	-88	-117	-145	-172	-198	-223	-247	-270	-292	-313	-333	-352	-370	-387	-403	-418	-432	-445	-457	-468	-478	-487	-495	-502	-508	0	514	515	516	517	518	
-28	-59	-89	-118	-146	-173	-199	-224	-248	-271	-293	-314	-334	-353	-371	-388	-404	-419	-433	-446	-458	-469	-479	-488	-496	-503	-509	-514	0	519	520	521	522	
-29	-60	-90	-119	-147	-174	-200	-225	-249	-272	-294	-315	-335	-354	-372	-389	-405	-420	-434	-447	-459	-470	-480	-489	-497	-504	-510	-515	-519	0	523	524	525	
-30	-61	-91	-120	-148	-175	-201	-226	-250	-273	-295	-316	-336	-355	-373	-390	-406	-421	-435	-448	-460	-471	-481	-490	-498	-505	-511	-516	-520	-523	0	526	527	
-31	-62	-92	-121	-149	-176	-202	-227	-251	-274	-296	-317	-337	-356	-374	-391	-407	-422	-436	-449	-461	-472	-482	-491	-499	-506	-512	-517	-521	-524	-526	0	528	
-32	-63	-93	-122	-150	-177	-203	-228	-252	-275	-297	-318	-338	-357	-375	-392	-408	-423	-437	-450	-462	-473	-483	-492	-500	-507	-513	-518	-522	-525	-527	-528	0	
